タイトル,タグ,URL,作成日,テキスト,Attention Leve,投稿 済・未,日付
逆算の流れ説明→潜在意識を安心させ、良い現実創造,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 情報, 情報発信, 情報発信ネタ, 神様・精霊さん, 自愛, 資料",,2026年4月26日 18:52,良い現実想像をするまでの流れを逆算で説明,,,2026年4月27日
OS書き換え：真面目さ溶解・構造的基盤,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 情報, 情報発信, 情報発信ネタ, 神様・精霊さん, 自愛, 資料",,2026年4月15日 12:03,潜在意識が「解決しよう」「正しくあろう」とする力を利用し、その力を「不真面目な遊び（演出）」へとすり替えることで、抵抗を無効化する。,,,2026年4月5日
聖域の庭：神様と精霊さんへ感謝によるOS同期プロトコル,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 情報, 情報発信, 情報発信ネタ, 神様・精霊さん, 自愛, 資料",,2026年4月15日 11:59,「個人の力」で生きるOS 1.0を強制終了し、「全体の一部」として完璧に保護されるOS 9.0へと、日常の動作を通じて自動的に書き換える。,,,2026年4月5日
宇宙の自動処理におまかせする「不真面目メソッド」完全マニュアル,"世界=自分, 学び, 情報, 情報発信ネタ, 自愛, 資料",,2026年4月14日 15:28,「ニッコリ」宇宙の自動処理におまかせする「不真面目メソッド」の応用編,,,2026年4月3日
他人を気にしない。マイペースOS書き換え,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年4月13日 10:41,自己の状態をありのままに観察する,,,2026年4月13日
コア・プラクティス ｜Ver.  2.0,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年4月12日 22:00,自己の状態をありのままに観察する,,,2026年4月12日
嫌な現実を拒否しないで、心のブレーキを外す方法,"世界=自分, 学び, 情報, 情報発信, 情報発信ネタ, 自愛, 資料",,2026年4月5日 23:31,負のループを断ち切り、嫌な状況を好転させるための具体的なステップを解説,,,2026年4月5日
「ニッコリ」宇宙の自動処理におまかせする「不真面目メソッド」,"世界=自分, 学び, 情報, 情報発信ネタ, 自愛, 資料",,2026年4月4日 16:17,潜在意識の「暴走」や「対立」を解消し、ニュートラルな状態（陽だまりのセンター）へ還るための手法を整理した資料です。,,,2026年4月3日
潜在意識の暴走を鎮める「3つのアプローチ」比較・活用ガイド,"世界=自分, 学び, 情報, 情報発信ネタ, 自愛, 資料",,2026年4月3日 22:51,潜在意識の「暴走」や「対立」を解消し、ニュートラルな状態（陽だまりのセンター）へ還るための手法を整理した資料です。,,,2026年4月3日
内なる統合と人間関係の調和,"世界=自分, 学び, 情報, 情報発信ネタ, 自愛, 資料",,2026年4月1日 16:02,4つのマトリックスを超え「陽だまりのセンター」へ還る,,,2026年4月1日
『陰の実力者になりたくて！』体系的分析,"スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識",,2026年4月1日 14:38,『陰の実力者になりたくて！』における認知科学的・哲学的行動原理の体系的分析,★★,,2026年4月1日
存在論的安心：世界を完璧と信頼するためのガイド,"世界=自分, 哲学, 学び, 情報, 情報発信ネタ, 自愛, 資料",,2026年4月1日 10:57,社会学者アンソニー・ギデンズが提唱した「根源的な信頼感」,,,2026年4月1日
人の認識と現実の捉え方の整理,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年3月24日 14:22,ダグラス・ハーディング の「無頭の実験」をメソッド化。「見ているもの」と「見ている自分」から見ているエゴを剥がしていく,★★,,2026年3月24日
コア・プラクティス Ver.1.0｜2026年3月11日,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年3月11日 23:16,自己の状態をありのままに観察する,,,2026年3月11日
純粋内観ガイド,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年3月11日 22:19,自己の状態をありのままに観察する,,,2026年3月11日
ラマナ・マハルシ｜魂と意識の関係,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識",https://www.youtube.com/watch?v=yWUfXYE5Zg8,2026年3月10日 23:19,自愛でどう孤独をサレンダーできるかの構造や流れを説明,,,2026年2月18日
完璧認定：1分間「ざっくり上書き」ワーク,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年3月7日 21:49,,,,2026年3月7日
「完璧の採用」を自動化し引き寄せをする脳科学・心理学ガイド,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年3月7日 3:02,,,,2026年3月7日
意識の焦点を「思考（頭）」から「体」へと下すワーク,"エゴ, スキル, ネドじゅん, ポポルームを目指す, ワーク, 世界=自分, 心理学, 潜在意識, 自愛",,2026年2月24日 2:21,意識の焦点を「思考（頭）」から「体（お腹・今ここ）」へと物理的に引きずり下ろすことで、左脳的なおしゃべりを止める素晴らしい手法です。,,,2026年2月24日
isa式、自愛で孤独にサレンダー,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識, 自愛, 達人：桑田・自己観察 関連",,2026年2月24日 2:12,自愛でどう孤独をサレンダーできるかの構造や流れを説明,,,2026年2月18日
物語による「宇宙の視点」訓練メソッド,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 心理学, 潜在意識, 自愛",,2026年2月22日 22:25,,,,2026年2月22日
アート・オブ・サレンダー：館長プロトコル,"エゴ, スキル, ポポルームを目指す, ワーク, 世界=自分, 心理学, 潜在意識, 自愛",,2026年2月22日 18:47,目の前の「未解決」をエラー（修正すべきもの）と見なすのを止め、至高の修復士による制作プロセスとして「認定」する。,,,2026年2月22日
「静かな観察」によるエゴの抵抗をなくす構造とやりかた,"エゴ, ポポルームを目指す, 世界=自分, 健康, 学び, 心理学, 潜在意識, 自愛",,2026年2月18日 10:35,思考、感情、身体感覚。それらがどのような形であれ、ただ「観察」の中に置くことで、エゴの運動は自然に収束していきます。,,,2026年2月18日
【トール】孤独の三層と「真の自由」への変容,"エゴ, ポポルームを目指す, 世界=自分, 健康, 学び, 心理学, 潜在意識, 自愛",https://www.youtube.com/watch?v=JBCYyG7q3x0,2026年2月17日 0:54,エックハルト・トールからの学び。孤独の三層。孤独とは、外側に向かう「寂しさ」から、内側の「広大な静寂」へと至る巡礼のプロセスです。,,,2026年2月17日
【トール】孤独という名の「静かな充足」：真の繋がりへの招待状,"エゴ, ポポルームを目指す, 世界=自分, 健康, 学び, 心理学, 潜在意識, 自愛",https://www.youtube.com/watch?v=JBCYyG7q3x0,2026年2月17日 0:34,エックハルト・トールからの学び。孤独は、充足の学び場,,,2026年2月17日
頭の力みを抜き、気を体に下ろすためのステップ,"エゴ, ポポルームを目指す, 世界=自分, 健康, 学び, 心理学, 潜在意識, 自愛",,2026年2月16日 18:08,地図付きのために、,,,2026年2月16日
【効率的サレンダー・システム】実装ロードマップ,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年2月13日 20:50,地図付きのために、,,,2026年2月13日
「心地よさ」の定着と共生する技術,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年2月3日 1:14,ほっこりした映画を見たり、音楽を聴いて、内側から自然なやる気と幸福感が湧いてきた状態。その良い状態を定着し、共生することで、その良い状態が再現しやすくなります。,,,2026年2月3日
1時間に3分の「観照」メソッド：エゴを解体し、全体性（愛）とつながる,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年2月2日 13:18,このメソッドは、「エゴ（自我）を力ずくで変える」のではなく、「エゴの動きを静かに眺める」ことで、その影響力を自然に弱めていくものです。,,,2026年2月2日
自愛と「別の領域（完璧さ）」の結びつき,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 潜在意識, 自愛",,2026年1月31日 14:15,,,,
エゴ上映会で、エゴに飲まれず、仮想現実を客観的に見る,"エゴ, ポポルームを目指す, 世界=自分, 学び, 心理学, 手法, 潜在意思",,2026年1月29日 10:53,,,,2026年1月29日
宇宙への丸投げ実践ガイド：未熟なままの全託,"エゴ, ポポルームを目指す, 世界=自分, 学び, 手法",,2026年1月25日 17:52,,,,2026年1月25日
より楽をするためのサレンダー活用法,"エゴ, ポポルームを目指す, メソッド, 世界=自分, 手法, 潜在意識",,2026年1月22日 12:45,,,,2026年1月22日
心の成長の5フェイズ：心理学的統合モデル 案,"ポポルームを目指す, 世界=自分, 効率化, 心理学, 情報発信ネタ, 経験・体験・実感, 自己啓発",,2026年1月15日 11:53,,,,
笑うことが悟り。オショーラジニーシ,"BookMark, YouTube, ポポルームを目指す, 世界=自分, 宇宙",https://www.youtube.com/watch?v=lomtuzxutU0,2025年11月26日 11:28,,,,
究極のサレンダーへの道,"ポポルームを目指す, 世界=自分, 宇宙, 経験・体験・実感",,2025年11月23日 10:08,,,,
よしお式：信念と願望の一致（願望実現のメカニズム）,"YouTube, ポポルームを目指す, 世界=自分, 動画まとめ, 宇宙, 潜在意識, 達人：桑田・自己観察 関連",https://www.youtube.com/watch?v=RaZd28VRt4Y&list=PLXumF2jByz7wrim7d428WLsCoSzCOIzig&index=4,2025年11月22日 9:55,川の流れ（信念）に逆らって泳ぐのではなく、川の流れそのものに、行きたい場所（願望）を乗せてしまう,★★★★,,
静寂と流れへの帰還,"ポポルームを目指す, 世界=自分",,2025年10月22日 1:23,,,,
ヒー-ローからの卒業,"ポポルームを目指す, 世界=自分",,2025年10月21日 10:46,問題を乗り越える自己肯定感ではなく、自己受容により平穏で幸せな毎日にする,,,
エゴの思考をエゴと楽しくなくす,"ポポルームを目指す, 世界=自分",,2025年10月19日 21:26,エゴの思考を無理の止めないで、エゴと一緒に楽しく気づく,,,
「頑張らない自愛」へシフト,"ポポルームを目指す, 世界=自分",,2025年10月17日 12:50,アクセルとブレーキを同時に踏むのをやめ、心からの休息と回復を自分に与えるための、3つのステップ,,,
,,,2024年4月13日 23:06,,,,
年賀状デザイン 2025年,,,2023年12月26日 1:50,,,,
,,,2023年6月1日 12:23,,,,
,,,2023年5月30日 19:18,,,,
WP制作で毎回入れるプラグインをまとめる,,,2023年5月21日 18:46,,,,
,,,2023年5月17日 18:07,,,,
